Element,Name,Centre (m),Length (m),Material density,Inner radius (m),Outer radius (m),Current density (A/mm^2),nSheets,Gradient (Mv/m),Frequency (MHz),Phase (deg),rho,Num cav,cavlength,gap length
SOLENOID,L1,0,0.5,,0.1,0.3,20,10,,,,0,,,
SOLENOID,MU1,0.4,0.1,,0.1,0.3,21.81863206,10,,,,0,,,
SOLENOID,MU2,0.6,0.1,,0.1,0.3,40.1357677,10,,,,0,,,
SOLENOID,MU3,0.8,0.1,,0.1,0.3,7.104350002,10,,,,0,,,
SOLENOID,MU4,1,0.1,,0.1,0.3,86.31346945,10,,,,0,,,
SOLENOID,H1corrU1,1.106,0.012,,0.03,0.135,535.3,10,,,,0,,,
SOLENOID,H1corrU2,1.118,0.012,,0.03,0.125,535.3,10,,,,0,,,
SOLENOID,H1corrU3,1.13,0.012,,0.03,0.115,535.3,10,,,,0,,,
SOLENOID,H1,1.75,1.228,,0.03,0.09,535.3,10,,,,0,,,
ABSORBER,ABS1,1.75,1.1914,0.048492925,,,,,,,,,,,
SOLENOID,H1corrD3,2.37,0.012,,0.03,0.115,535.3,10,,,,0,,,
SOLENOID,H1corrD2,2.382,0.012,,0.03,0.125,535.3,10,,,,0,,,
SOLENOID,H1corrD1,2.394,0.012,,0.03,0.135,535.3,10,,,,0,,,
SOLENOID,MD1,2.6,0.1,,0.1,0.3,36.25718205,10,,,,0,,,
SOLENOID,MD2,2.8,0.1,,0.1,0.3,1.612141151,10,,,,0,,,
SOLENOID,MD3,3,0.1,,0.1,0.3,30.35589717,10,,,,0,,,
SOLENOID,MD4,3.2,0.1,,0.1,0.3,-8.668801058,10,,,,0,,,
SOLENOID,MD5,3.4,0.1,,0.1,0.3,-29.56510816,10,,,,0,,,
SOLENOID,MD6,3.6,0.1,,0.1,0.3,-12.57245502,10,,,,0,,,
SOLENOID,L2,4.05,0.5,,0.1,0.3,-20,10,,,,0,,,
SOLENOID,MU5,4.45,0.1,,0.1,0.3,-24.87274153,10,,,,,,,
SOLENOID,MU6,4.65,0.1,,0.1,0.3,-17.12723897,10,,,,,,,
SOLENOID,MU7,4.85,0.1,,0.1,0.3,-18.27045391,10,,,,,,,
SOLENOID,MU8,5.05,0.1,,0.1,0.3,-40.25166666,10,,,,,,,
SOLENOID,H2corrU1,5.156,0.012,,0.03,0.135,-535.3,10,,,,,,,
SOLENOID,H2corrU2,5.168,0.012,,0.03,0.125,-535.3,10,,,,,,,
SOLENOID,H2corrU3,5.18,0.012,,0.03,0.115,-535.3,10,,,,,,,
SOLENOID,H2,5.4,0.428,,0.03,0.09,-535.3,10,,,,,,,
ABSORBER,ABS2,5.4,0.355140399,0.039871555,,,,,,,,,,,
SOLENOID,H2corrD3,5.62,0.012,,0.03,0.115,-535.3,10,,,,,,,
SOLENOID,H2corrD2,5.632,0.012,,0.03,0.125,-535.3,10,,,,,,,
SOLENOID,H2corrD1,5.644,0.012,,0.03,0.135,-535.3,10,,,,,,,
SOLENOID,MD7,5.89,0.1,,0.2,0.4,-39.84701198,10,,,,,,,
SOLENOID,MD8,6.42,0.1,,0.2,0.4,-16.33831195,10,,,,,,,
SOLENOID,MD9,6.95,0.1,,0.2,0.4,-19.04084817,10,,,,,,,
CAVITY,Acc_1,6.95,,,,,,,7,70,38,,4,0.25,0.28
SOLENOID,MD10,7.48,0.1,,0.2,0.4,-12.20847899,10,,,,,,,
SOLENOID,MD11,8.01,0.1,,0.2,0.4,-20.57980685,10,,,,,,,
SOLENOID,MD12,8.54,0.1,,0.2,0.4,10.15986977,10,,,,,,,
CAVITY,Acc_1_1,8.805,,,,,,,2.5,70,0,,3,0.25,0.28
SOLENOID,MD13,9.07,0.1,,0.2,0.4,31.82486348,10,,,,,,,
SOLENOID,L3,9.85,0.5,,0.1,0.3,20,10,,,,,,,
SOLENOID,MU9,10.25,0.1,,0.1,0.3,25.20198995,10,,,,,,,
SOLENOID,MU10,10.45,0.1,,0.1,0.3,12.60875492,10,,,,,,,
SOLENOID,MU11,10.65,0.1,,0.1,0.3,20.37660583,10,,,,,,,
SOLENOID,MU12,10.85,0.1,,0.1,0.3,31.21015486,10,,,,,,,
SOLENOID,H3corrU1,10.956,0.012,,0.03,0.135,535.3,10,,,,,,,
SOLENOID,H3corrU2,10.968,0.012,,0.03,0.125,535.3,10,,,,,,,
SOLENOID,H3corrU3,10.98,0.012,,0.03,0.115,535.3,10,,,,,,,
SOLENOID,H3,11.15,0.328,,0.03,0.09,535.3,10,,,,,,,
ABSORBER,ABS3,11.15,0.3,0.032892196,,,,,,,,,,,
SOLENOID,H3corrD3,11.32,0.012,,0.03,0.115,535.3,10,,,,,,,
SOLENOID,H3corrD2,11.332,0.012,,0.03,0.125,535.3,10,,,,,,,
SOLENOID,H3corrD1,11.344,0.012,,0.03,0.135,535.3,10,,,,,,,
SOLENOID,MD14,11.55,0.1,,0.1,0.3,25.71760223,10,,,,,,,
SOLENOID,MD15,11.75,0.1,,0.1,0.3,-0.371993306,10,,,,,,,
SOLENOID,MD16,11.95,0.1,,0.1,0.3,44.8089044,10,,,,,,,
SOLENOID,MD17,12.15,0.1,,0.1,0.3,-41.5100117,10,,,,,,,
